course_id,course_name,course_area,local,priority_rank,priority_score,priority_level,priority_assessment,score_difference,score_agreement,hiring_pressure_rank,hiring_pressure_score,hiring_pressure_tier,hiring_main_pressure_driver,cross_hiring_rank,cross_hiring_score,cross_hiring_tier,cross_main_pressure_driver,workforce_base_score,workforce_vulnerability_tier,workforce_main_risk_driver,actions_base_score,actions_pressure_tier,actions_main_pressure_driver,commercial_base_score,commercial_pressure_tier,commercial_main_pressure_driver,training_hours_per_trainer,concurrent_actions_per_trainer,weekly_sales_per_trainer,sustained_demand_pressure,shared_trainer_capacity_pressure,workload_pressure_score,concurrency_pressure_score,commercial_coverage_pressure_score,sustained_demand_pressure_score,shared_trainer_capacity_pressure_score
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 1,67,46.42,Lower-middle,Low priority,3.39,Strong agreement,62,48.12,Lower-middle,Workforce,71,44.73,Lower-middle,Concurrent actions,56.0,Upper-middle,Trainer scarcity,42.67,Lower-middle,Growth,43.25,Lower-middle,Volume,9.85,1.07,3.13,0.4156,0.0576,51.66666666666667,57.91666666666667,55.833333333333336,21.666666666666668,20.833333333333336
SST,Saúde e Segurança no Trabalho,Segurança,Centro 2,68,46.24,Lower-middle,Low priority,13.32,Moderate agreement,50,52.9,Upper-middle,Commercial,80,39.58,Lower-middle,Shared trainer capacity,49.8,Lower-middle,Multicourse trainers,52.85,Upper-middle,Volume,59.22,Upper-middle,Conversion,7.49,0.75,2.43,0.5597,0.1327,30.833333333333336,23.333333333333332,37.5,55.833333333333336,70.0
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 4,69,45.58,Lower-middle,Low priority,0.96,Strong agreement,77,45.1,Lower-middle,Workforce,68,46.06,Lower-middle,Concurrent actions,62.0,Upper-middle,Trainer scarcity,29.17,Lower-middle,Growth,43.17,Lower-middle,Conversion,7.99,1.4,3.43,0.4691,0.0188,36.666666666666664,80.0,60.83333333333333,31.666666666666664,7.916666666666666
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 5,70,45.5,Lower-middle,Low priority,0.03,Strong agreement,73,45.51,Lower-middle,Workforce,69,45.48,Lower-middle,Training workload,72.0,Upper-middle,Trainer scarcity,27.83,Lower-middle,Simultaneity,27.92,Lower-middle,Conversion,11.17,1.0,2.68,0.3472,0.0881,60.0,47.91666666666667,48.333333333333336,15.0,40.0
PYT,Introdução à Programação em Python,Informática,Centro 5,71,45.3,Lower-middle,Low priority,3.83,Strong agreement,86,43.38,Lower-middle,Workforce,65,47.21,Lower-middle,Training workload,44.8,Lower-middle,Multicourse trainers,43.6,Lower-middle,Volume,40.12,Lower-middle,Volume,11.44,0.75,2.49,0.5456,0.1116,62.5,23.333333333333332,40.833333333333336,47.5,62.5
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 1,72,45.2,Lower-middle,Low priority,14.15,Moderate agreement,97,38.12,Lower-middle,Workforce,56,52.27,Upper-middle,Shared trainer capacity,44.8,Lower-middle,Multicourse trainers,40.49,Lower-middle,Simultaneity,19.98,Low,Volume,19.65,0.85,1.56,0.3061,0.2857,85.83333333333333,34.583333333333336,11.666666666666666,10.0,97.5
EXC,Excel Aplicado à Gestão,Informática,Centro 5,73,45.07,Lower-middle,Low priority,4.34,Strong agreement,65,47.24,Lower-middle,Actions,74,42.9,Lower-middle,Sustained demand,34.8,Lower-middle,Multicourse trainers,59.43,Upper-middle,Volume,47.75,Lower-middle,Conversion,9.53,0.85,2.16,0.5491,0.098,49.166666666666664,34.583333333333336,29.166666666666668,51.66666666666667,49.166666666666664
TUR,Atendimento Turístico,Turismo,Centro 4,74,44.88,Lower-middle,Low priority,6.79,Strong agreement,61,48.27,Lower-middle,Workforce,75,41.48,Lower-middle,Commercial demand,82.0,High,Trainer scarcity,20.18,Low,Growth,37.0,Lower-middle,Conversion,9.04,1.0,3.11,0.3406,0.0806,45.83333333333333,47.91666666666667,55.00000000000001,13.333333333333334,36.666666666666664
MNT,Manutenção Industrial Básica,Manutenção,Centro 4,75,44.64,Lower-middle,Low priority,0.99,Strong agreement,76,45.14,Lower-middle,Actions,72,44.15,Lower-middle,Training workload,39.8,Lower-middle,Multicourse trainers,53.79,Upper-middle,Volume,38.51,Lower-middle,Conversion,10.97,0.9,1.56,0.5101,0.1089,59.166666666666664,39.58333333333333,12.5,40.0,57.49999999999999
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 5,76,44.54,Lower-middle,Low priority,16.67,Moderate agreement,51,52.88,Upper-middle,Commercial,84,36.21,Lower-middle,Sustained demand,24.8,Low,Trainer scarcity,68.24,Upper-middle,Regularity,78.32,High,Volume,5.4,0.75,3.81,0.7305,0.0516,15.833333333333332,23.333333333333332,67.5,83.33333333333334,20.0
LID,Liderança e Comunicação,Gestão,Centro 3,77,44.09,Lower-middle,Low priority,0.72,Strong agreement,81,44.45,Lower-middle,Workforce,73,43.73,Lower-middle,Commercial demand,49.3,Lower-middle,Trainer scarcity,43.97,Lower-middle,Volume,35.69,Lower-middle,Volume,9.65,1.0,3.3,0.4997,0.0368,50.83333333333333,47.91666666666667,59.166666666666664,37.5,13.333333333333334
ING,Inglês Profissional,Línguas,Centro 3,78,43.74,Lower-middle,Low priority,5.47,Strong agreement,93,41.01,Lower-middle,Actions,67,46.48,Lower-middle,Shared trainer capacity,39.8,Lower-middle,Multicourse trainers,47.13,Lower-middle,Simultaneity,31.2,Lower-middle,Volume,10.83,1.0,1.81,0.4558,0.1323,56.666666666666664,47.91666666666667,18.333333333333332,29.166666666666668,69.16666666666667
LOG,Logística e Gestão de Armazém,Logística,Centro 3,79,43.72,Lower-middle,Low priority,7.27,Strong agreement,64,47.35,Lower-middle,Actions,77,40.08,Lower-middle,Sustained demand,34.8,Lower-middle,Multicourse trainers,57.29,Upper-middle,Volume,52.54,Upper-middle,Volume,8.68,0.75,2.56,0.5779,0.0932,40.0,23.333333333333332,42.5,62.5,43.333333333333336
LID,Liderança e Comunicação,Gestão,Centro 2,80,43.6,Lower-middle,Low priority,7.78,Strong agreement,63,47.49,Lower-middle,Actions,79,39.71,Lower-middle,Shared trainer capacity,34.8,Lower-middle,Multicourse trainers,63.64,Upper-middle,Volume,40.54,Lower-middle,Volume,8.81,0.75,2.32,0.5355,0.1102,43.333333333333336,23.333333333333332,35.833333333333336,44.166666666666664,59.166666666666664
SST,Saúde e Segurança no Trabalho,Segurança,Centro 3,81,42.26,Lower-middle,Low priority,7.71,Strong agreement,71,46.11,Lower-middle,Actions,81,38.4,Lower-middle,Sustained demand,34.8,Lower-middle,Multicourse trainers,54.39,Upper-middle,Volume,52.15,Upper-middle,Volume,7.7,0.85,2.3,0.5522,0.0952,32.5,34.583333333333336,35.0,54.166666666666664,44.166666666666664
MNT,Manutenção Industrial Básica,Manutenção,Centro 2,82,41.54,Lower-middle,Low priority,3.42,Strong agreement,87,43.25,Lower-middle,Commercial,78,39.83,Lower-middle,Training workload,39.8,Lower-middle,Multicourse trainers,40.41,Lower-middle,Volume,55.87,Upper-middle,Volume,9.47,0.75,2.38,0.5398,0.0968,48.333333333333336,23.333333333333332,36.666666666666664,45.83333333333333,47.5
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 4,83,41.51,Lower-middle,Low priority,10.06,Strong agreement,69,46.54,Lower-middle,Workforce,83,36.48,Lower-middle,Commercial demand,62.0,Upper-middle,Trainer scarcity,26.44,Lower-middle,Regularity,55.78,Upper-middle,Conversion,5.8,1.0,4.47,0.4864,0.0226,20.0,47.91666666666667,79.16666666666666,35.0,9.166666666666666
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 1,84,40.01,Lower-middle,Low priority,8.14,Strong agreement,83,44.08,Lower-middle,Commercial,85,35.94,Lower-middle,Shared trainer capacity,39.8,Lower-middle,Multicourse trainers,45.9,Lower-middle,Volume,48.99,Lower-middle,Conversion,7.59,0.6,1.96,0.5915,0.1454,31.666666666666664,6.25,20.833333333333336,68.33333333333333,76.66666666666667
PRI,Primeiros Socorros,Saúde e Segurança,Centro 5,85,38.98,Lower-middle,Low priority,9.92,Strong agreement,84,43.94,Lower-middle,Commercial,86,34.02,Lower-middle,Commercial demand,34.8,Lower-middle,Multicourse trainers,47.81,Lower-middle,Volume,54.52,Upper-middle,Conversion,6.04,0.9,2.55,0.5259,0.0763,22.5,39.58333333333333,41.66666666666667,41.66666666666667,32.5
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 3,86,38.86,Lower-middle,Low priority,11.93,Strong agreement,79,44.83,Lower-middle,Commercial,89,32.9,Lower-middle,Shared trainer capacity,44.8,Lower-middle,Multicourse trainers,37.61,Lower-middle,Simultaneity,59.35,Upper-middle,Conversion,3.1,0.85,2.45,0.5513,0.1125,2.5,34.583333333333336,39.166666666666664,52.5,65.0
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 4,87,38.39,Lower-middle,Low priority,8.86,Strong agreement,89,42.82,Lower-middle,Commercial,87,33.96,Lower-middle,Shared trainer capacity,39.8,Lower-middle,Multicourse trainers,43.39,Lower-middle,Simultaneity,47.71,Lower-middle,Conversion,6.2,0.75,2.03,0.5373,0.1374,24.166666666666668,23.333333333333332,21.666666666666668,45.0,72.5
SCI,Segurança Contra Incêndios,Segurança,Centro 2,88,37.71,Lower-middle,Low priority,7.58,Strong agreement,92,41.5,Lower-middle,Workforce,88,33.92,Lower-middle,Concurrent actions,62.0,Upper-middle,Trainer scarcity,25.31,Lower-middle,Growth,32.91,Lower-middle,Conversion,4.92,1.2,3.4,0.4125,0.0168,12.5,69.16666666666667,60.0,20.0,5.833333333333333
SEG,Segurança no Trabalho,Segurança,Centro 4,89,37.62,Lower-middle,Low priority,12.19,Strong agreement,85,43.71,Lower-middle,Commercial,92,31.52,Lower-middle,Sustained demand,39.8,Lower-middle,Multicourse trainers,44.99,Lower-middle,Simultaneity,48.93,Lower-middle,Conversion,3.72,0.85,2.04,0.5766,0.1098,5.0,34.583333333333336,22.5,61.66666666666667,58.333333333333336
HCP,HACCP Aplicado,Alimentar,Centro 1,90,37.34,Lower-middle,Low priority,14.56,Strong agreement,80,44.62,Lower-middle,Commercial,95,30.06,Lower-middle,Sustained demand,39.8,Lower-middle,Multicourse trainers,40.55,Lower-middle,Regularity,62.41,Upper-middle,Conversion,5.49,0.65,2.68,0.6226,0.0611,17.5,11.25,47.5,74.16666666666667,25.0
PRI,Primeiros Socorros,Saúde e Segurança,Centro 2,91,36.99,Lower-middle,Low priority,14.33,Strong agreement,82,44.16,Lower-middle,Commercial,96,29.83,Lower-middle,Sustained demand,39.8,Lower-middle,Multicourse trainers,37.29,Lower-middle,Volume,66.58,Upper-middle,Conversion,5.45,0.75,2.23,0.5641,0.08,16.666666666666664,23.333333333333332,32.5,58.333333333333336,35.833333333333336
LOG,Logística e Gestão de Armazém,Logística,Centro 4,92,36.3,Lower-middle,Low priority,11.65,Strong agreement,91,42.13,Lower-middle,Actions,94,30.48,Lower-middle,Concurrent actions,39.8,Lower-middle,Multicourse trainers,45.43,Lower-middle,Simultaneity,40.2,Lower-middle,Conversion,6.39,1.0,1.68,0.4527,0.068,25.833333333333336,47.91666666666667,15.833333333333332,28.333333333333332,27.500000000000004
PRO,Gestão de Projetos,Gestão,Centro 3,93,35.23,Lower-middle,Low priority,5.74,Strong agreement,113,32.36,Lower-middle,Workforce,82,38.1,Lower-middle,Shared trainer capacity,39.8,Lower-middle,Multicourse trainers,32.78,Lower-middle,Simultaneity,16.64,Low,Volume,7.92,1.0,1.44,0.2502,0.1835,35.833333333333336,47.91666666666667,9.166666666666666,5.833333333333333,87.5
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 2,94,34.84,Lower-middle,Low priority,15.71,Strong agreement,90,42.69,Lower-middle,Workforce,97,26.98,Lower-middle,Concurrent actions,82.0,High,Trainer scarcity,9.24,Low,Recurrence,30.95,Lower-middle,Conversion,7.74,1.0,1.77,0.2382,0.0348,33.33333333333333,47.91666666666667,16.666666666666664,4.166666666666666,12.5
PRO,Gestão de Projetos,Gestão,Centro 5,95,33.91,Lower-middle,Low priority,4.2,Strong agreement,102,36.01,Lower-middle,Workforce,90,31.81,Lower-middle,Shared trainer capacity,44.8,Lower-middle,Multicourse trainers,36.32,Lower-middle,Volume,17.81,Low,Volume,8.82,0.65,1.55,0.4207,0.1352,44.166666666666664,11.25,10.833333333333334,23.333333333333332,70.83333333333334
ING,Inglês Profissional,Línguas,Centro 1,96,32.72,Lower-middle,Low priority,2.02,Strong agreement,109,33.73,Lower-middle,Actions,91,31.71,Lower-middle,Shared trainer capacity,34.8,Lower-middle,Multicourse trainers,38.65,Lower-middle,Simultaneity,21.75,Low,Conversion,8.81,0.75,1.38,0.3474,0.1124,42.5,23.333333333333332,7.5,15.833333333333332,64.16666666666667
GES,Gestão de Equipas,Gestão,Centro 5,97,31.92,Lower-middle,Low priority,1.79,Strong agreement,111,32.81,Lower-middle,Workforce,93,31.02,Lower-middle,Shared trainer capacity,39.8,Lower-middle,Multicourse trainers,32.02,Lower-middle,Simultaneity,20.39,Low,Volume,5.72,0.85,1.49,0.4285,0.1484,18.333333333333332,34.583333333333336,10.0,24.166666666666668,78.33333333333333
SCI,Segurança Contra Incêndios,Segurança,Centro 5,98,31.79,Lower-middle,Low priority,12.88,Strong agreement,96,38.23,Lower-middle,Workforce,100,25.35,Lower-middle,Concurrent actions,62.0,Upper-middle,Trainer scarcity,24.36,Low,Regularity,18.43,Low,Regularity,4.78,1.0,2.44,0.4369,0.0122,10.833333333333334,47.91666666666667,38.333333333333336,26.666666666666668,2.5
VND,Vendas e Negociação,Comercial,Centro 1,99,31.56,Lower-middle,Low priority,16.5,Moderate agreement,95,39.81,Lower-middle,Commercial,105,23.31,Low,Sustained demand,39.8,Lower-middle,Multicourse trainers,36.31,Lower-middle,Regularity,46.86,Lower-middle,Volume,5.72,0.6,2.13,0.5478,0.0726,19.166666666666668,6.25,26.666666666666668,50.0,30.0
HCP,HACCP Aplicado,Alimentar,Centro 3,100,31.5,Lower-middle,Low priority,22.88,Moderate agreement,88,42.94,Lower-middle,Commercial,107,20.06,Low,Sustained demand,44.8,Lower-middle,Multicourse trainers,39.75,Lower-middle,Growth,45.58,Lower-middle,Regularity,4.77,0.6,1.92,0.5577,0.0713,10.0,6.25,19.166666666666668,55.00000000000001,29.166666666666668
LID,Liderança e Comunicação,Gestão,Centro 1,101,31.23,Lower-middle,Low priority,11.58,Strong agreement,99,37.02,Lower-middle,Workforce,99,25.44,Lower-middle,Sustained demand,39.8,Lower-middle,Multicourse trainers,35.16,Lower-middle,Regularity,35.2,Lower-middle,Volume,5.91,0.65,2.09,0.5941,0.0441,20.833333333333336,11.25,25.0,69.16666666666667,15.0
PRO,Gestão de Projetos,Gestão,Centro 1,102,30.41,Lower-middle,Low priority,12.02,Moderate agreement,100,36.42,Lower-middle,Workforce,103,24.4,Low,Shared trainer capacity,49.8,Lower-middle,Multicourse trainers,29.55,Lower-middle,Regularity,23.42,Low,Regularity,7.42,0.5,1.28,0.5011,0.1083,30.0,2.083333333333333,5.0,38.333333333333336,55.833333333333336
SOC,Socorrismo Básico,Saúde e Segurança,Centro 4,103,30.31,Lower-middle,Low priority,6.66,Strong agreement,110,33.64,Lower-middle,Workforce,97,26.98,Lower-middle,Concurrent actions,62.0,Upper-middle,Trainer scarcity,13.61,Low,Simultaneity,16.99,Low,Conversion,8.42,1.0,1.67,0.2082,0.0182,39.166666666666664,47.91666666666667,14.166666666666666,0.8333333333333334,6.666666666666667
TUR,Atendimento Turístico,Turismo,Centro 1,104,30.3,Lower-middle,Low priority,11.43,Moderate agreement,102,36.01,Lower-middle,Workforce,101,24.58,Low,Concurrent actions,62.0,Upper-middle,Trainer scarcity,17.04,Low,Growth,21.95,Low,Conversion,7.0,0.9,2.11,0.3204,0.0141,27.500000000000004,40.833333333333336,25.833333333333336,10.833333333333334,4.166666666666666
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 2,105,29.8,Lower-middle,Low priority,10.71,Moderate agreement,106,35.15,Lower-middle,Commercial,102,24.44,Low,Sustained demand,29.8,Lower-middle,Trainer scarcity,32.66,Lower-middle,Volume,50.85,Upper-middle,Conversion,5.96,0.6,2.13,0.5819,0.0503,21.666666666666668,6.25,27.500000000000004,63.33333333333333,18.333333333333332
SCI,Segurança Contra Incêndios,Segurança,Centro 4,106,29.3,Lower-middle,Low priority,11.91,Moderate agreement,105,35.26,Lower-middle,Workforce,104,23.35,Low,Concurrent actions,62.0,Upper-middle,Trainer scarcity,11.59,Low,Simultaneity,29.12,Lower-middle,Conversion,3.0,1.2,2.07,0.2472,0.0188,1.6666666666666667,69.16666666666667,24.166666666666668,5.0,7.916666666666666
GES,Gestão de Equipas,Gestão,Centro 1,107,28.1,Lower-middle,Low priority,18.32,Moderate agreement,98,37.26,Lower-middle,Workforce,110,18.94,Low,Shared trainer capacity,39.8,Lower-middle,Multicourse trainers,38.12,Lower-middle,Growth,30.47,Lower-middle,Volume,4.75,0.7,2.04,0.4498,0.0736,8.333333333333332,16.25,23.333333333333332,27.500000000000004,31.666666666666664
HCP,HACCP Aplicado,Alimentar,Centro 2,108,27.68,Lower-middle,Low priority,25.24,Moderate agreement,94,40.3,Lower-middle,Workforce,114,15.06,Low,Sustained demand,44.8,Lower-middle,Multicourse trainers,36.69,Lower-middle,Regularity,38.5,Lower-middle,Conversion,4.57,0.6,1.3,0.4901,0.0769,7.5,6.25,5.833333333333333,35.833333333333336,33.33333333333333
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 5,109,26.8,Lower-middle,Low priority,13.98,Moderate agreement,108,33.79,Lower-middle,Commercial,108,19.81,Low,Sustained demand,34.8,Lower-middle,Multicourse trainers,26.61,Lower-middle,Regularity,46.15,Lower-middle,Volume,4.75,0.6,2.21,0.568,0.0268,9.166666666666666,6.25,31.666666666666664,60.0,11.666666666666666
SOC,Socorrismo Básico,Saúde e Segurança,Centro 5,110,25.9,Lower-middle,Low priority,13.42,Moderate agreement,112,32.61,Lower-middle,Workforce,109,19.19,Low,Commercial demand,62.0,Upper-middle,Trainer scarcity,9.37,Low,Regularity,20.32,Low,Growth,6.96,0.7,2.27,0.3304,0.009,26.666666666666668,16.25,34.166666666666664,11.666666666666666,1.6666666666666667
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 2,111,24.62,Low,Low priority,23.58,Moderate agreement,101,36.41,Lower-middle,Commercial,118,12.83,Low,Shared trainer capacity,29.0,Lower-middle,Multicourse trainers,40.8,Lower-middle,Simultaneity,42.44,Lower-middle,Conversion,2.3,0.6,1.38,0.4064,0.1042,0.8333333333333334,3.3333333333333335,8.333333333333332,19.166666666666668,50.83333333333333
SCI,Segurança Contra Incêndios,Segurança,Centro 3,112,24.52,Low,Low priority,20.16,Moderate agreement,107,34.6,Lower-middle,Actions,115,14.44,Low,Sustained demand,29.8,Lower-middle,Multicourse trainers,41.48,Lower-middle,Regularity,30.47,Lower-middle,Volume,3.32,0.65,1.78,0.5348,0.0239,3.3333333333333335,11.25,17.5,43.333333333333336,10.0
GES,Gestão de Equipas,Gestão,Centro 3,113,24.42,Low,Low priority,21.73,Moderate agreement,104,35.29,Lower-middle,Workforce,117,13.56,Low,Commercial demand,72.0,Upper-middle,Trainer scarcity,8.1,Low,Growth,16.26,Low,Volume,4.39,0.7,2.58,0.2245,0.0128,6.666666666666667,16.25,44.166666666666664,2.5,3.3333333333333335
ING,Inglês Profissional,Línguas,Centro 5,114,24.34,Low,Low priority,5.53,Moderate agreement,118,27.11,Lower-middle,Workforce,106,21.58,Low,Training workload,29.8,Lower-middle,Multicourse trainers,26.95,Lower-middle,Simultaneity,22.05,Low,Volume,7.41,0.75,1.67,0.3463,0.0485,29.166666666666668,23.333333333333332,15.0,14.166666666666666,17.5
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 3,115,22.82,Low,Low priority,13.77,Moderate agreement,114,29.71,Lower-middle,Actions,112,15.94,Low,Shared trainer capacity,29.8,Lower-middle,Multicourse trainers,34.04,Lower-middle,Simultaneity,20.83,Low,Conversion,6.29,0.65,0.86,0.2537,0.0693,25.0,11.25,2.5,6.666666666666667,28.333333333333332
SOC,Socorrismo Básico,Saúde e Segurança,Centro 1,116,22.72,Low,Low priority,9.57,Moderate agreement,117,27.51,Lower-middle,Workforce,111,17.94,Low,Commercial demand,52.0,Upper-middle,Trainer scarcity,8.98,Low,Regularity,15.6,Low,Conversion,7.34,0.7,2.25,0.224,0.0,28.333333333333332,16.25,33.33333333333333,1.6666666666666667,0.8333333333333334
VND,Vendas e Negociação,Comercial,Centro 3,117,21.93,Low,Low priority,13.7,Moderate agreement,116,28.78,Lower-middle,Workforce,113,15.08,Low,Shared trainer capacity,34.8,Lower-middle,Multicourse trainers,27.41,Lower-middle,Simultaneity,19.52,Low,Conversion,4.9,0.75,1.14,0.2787,0.0678,11.666666666666666,23.333333333333332,4.166666666666666,7.5,26.666666666666668
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 4,118,21.62,Low,Low priority,15.86,Moderate agreement,115,29.55,Lower-middle,Workforce,116,13.69,Low,Training workload,34.8,Lower-middle,Multicourse trainers,23.99,Low,Simultaneity,30.15,Lower-middle,Conversion,6.13,0.65,0.74,0.2269,0.0577,23.333333333333332,11.25,0.8333333333333334,3.3333333333333335,21.666666666666668
SOC,Socorrismo Básico,Saúde e Segurança,Centro 2,119,14.79,Low,Low priority,17.54,Strong agreement,120,23.56,Low,Workforce,119,6.02,Low,Shared trainer capacity,34.8,Lower-middle,Multicourse trainers,12.84,Low,Regularity,22.51,Low,Conversion,3.9,0.5,0.82,0.3051,0.0421,5.833333333333333,2.083333333333333,1.6666666666666667,9.166666666666666,14.166666666666666
TUR,Atendimento Turístico,Turismo,Centro 3,120,14.73,Low,Low priority,19.79,Strong agreement,119,24.62,Low,Workforce,120,4.83,Low,Shared trainer capacity,39.8,Lower-middle,Multicourse trainers,12.73,Low,Growth,18.03,Low,Conversion,3.52,0.45,1.13,0.2815,0.0242,4.166666666666666,0.8333333333333334,3.3333333333333335,8.333333333333332,10.833333333333334
